issuer,issue_date,listing_date,issue_price,listing_day_close,listing_day_return,status
Travel Food Services Limited,2025-07-07,2025-07-14,1100.0,1074.8,-0.022909090909090952,listed_alive
Smarten Power Systems Limited,2025-07-07,2025-07-14,100.0,151.2,0.5119999999999999,listed_alive
Happy Square Outsourcing Services Limited,2025-07-03,2025-07-10,76.0,80.85,0.06381578947368413,listed_alive
CRIZAC LIMITED,2025-07-02,2025-07-09,245.0,307.63,0.25563265306122446,listed_alive
Cedaar Textile Limited,2025-06-30,2025-07-07,140.0,113.05,-0.19250000000000003,listed_alive
Silky Overseas Limited,2025-06-30,2025-07-07,161.0,162.45,0.009006211180124154,listed_alive
Pushpa Jewellers Limited,2025-06-30,2025-07-07,147.0,117.6,-0.20000000000000004,listed_alive
Indogulf Cropsciences Limited,2025-06-26,2025-07-03,111.0,110.35,-0.005855855855855907,listed_alive
PRO FX Tech Limited,2025-06-26,2025-07-03,87.0,99.75,0.14655172413793102,listed_alive
Moving Media Entertainment Limited,2025-06-26,2025-07-03,70.0,74.55,0.06499999999999996,listed_alive
HDB Financial Services Limited,2025-06-25,2025-07-02,740.0,840.95,0.13641891891891897,listed_alive
Sambhv Steel Tubes Limited,2025-06-25,2025-07-02,82.0,97.59,0.19012195121951223,listed_alive
Suntech Infra Solutions Limited,2025-06-25,2025-07-02,86.0,103.8,0.20697674418604647,listed_alive
Rama Telecom Limited,2025-06-25,2025-07-02,68.0,68.4,0.005882352941176554,listed_alive
Kalpataru Limited,2025-06-24,2025-07-01,414.0,432.95,0.04577294685990335,listed_alive
Ellenbarrie Industrial Gases Limited,2025-06-24,2025-07-01,400.0,534.6,0.3365000000000001,listed_alive
Globe Civil Projects Limited,2025-06-24,2025-07-01,71.0,94.46,0.3304225352112675,listed_alive
Shri Hare-Krishna Sponge Iron Limited,2025-06-24,2025-07-01,59.0,64.55,0.09406779661016944,listed_alive
Aakaar Medical Technologies Limited,2025-06-20,2025-06-27,72.0,71.25,-0.010416666666666666,listed_alive
Safe Enterprises Retail Fixtures Limited,2025-06-20,2025-06-27,138.0,158.55,0.14891304347826095,listed_alive
Mayasheel Ventures Limited,2025-06-20,2025-06-27,47.0,60.9,0.2957446808510638,listed_alive
Arisinfra Solutions Limited,2025-06-18,2025-06-25,222.0,174.38,-0.21450450450450453,listed_alive
Influx Healthtech Limited,2025-06-18,2025-06-25,96.0,126.2,0.3145833333333334,listed_alive
Eppeltone Engineers Limited,2025-06-17,2025-06-24,128.0,255.35,0.994921875,listed_alive
Samay Project Services Limited,2025-06-16,2025-06-23,34.0,36.0,0.058823529411764705,listed_alive
Patil Automation Limited,2025-06-16,2025-06-23,120.0,162.75,0.35625,listed_alive
Oswal Pumps Limited,2025-06-13,2025-06-20,614.0,625.35,0.01848534201954401,listed_alive
Monolithisch India Limited,2025-06-12,2025-06-19,143.0,243.1,0.7,listed_alive
Jainik Power Cables Limited,2025-06-10,2025-06-17,110.0,82.85,-0.24681818181818188,listed_alive
Sacheerome Limited,2025-06-09,2025-06-16,102.0,160.55,0.5740196078431373,listed_alive
Ganga Bath Fittings Limited,2025-06-04,2025-06-11,49.0,56.05,0.1438775510204081,listed_alive
Scoda Tubes Limited,2025-05-28,2025-06-04,140.0,147.0,0.05,listed_alive
Neptune Petrochemicals Limited,2025-05-28,2025-06-04,122.0,139.35,0.1422131147540983,listed_alive
N R Vandana Tex Industries Limited,2025-05-28,2025-06-04,45.0,43.7,-0.028888888888888825,listed_alive
Prostarm Info Systems Limited,2025-05-27,2025-06-03,105.0,126.0,0.2,listed_alive
Blue Water Logistics Limited,2025-05-27,2025-06-03,135.0,148.05,0.09666666666666675,listed_alive
Nikita Papers Limited,2025-05-27,2025-06-03,104.0,90.45,-0.13028846153846152,listed_alive
Aegis Vopak Terminals Limited,2025-05-26,2026-01-08,,,,listed_alive
Schloss Bangalore Limited,2025-05-26,2025-06-02,435.0,435.55,0.0012643678160919802,listed_alive
Belrise Industries Limited,2025-05-21,2025-05-28,90.0,97.41,0.0823333333333333,listed_alive
Dar Credit & Capital Limited,2025-05-21,2026-06-03,10000.0,,,listed_alive
Borana Weaves Limited,2025-05-20,2025-05-27,216.0,255.15,0.18125000000000002,listed_alive
Accretion Pharmaceuticals Limited,2025-05-14,2025-05-21,101.0,82.95,-0.17871287128712868,listed_alive
Integrity Infrabuild Developers Limited,2025-05-13,2025-05-20,100.0,103.5,0.035,listed_alive
Virtual Galaxy Infotech Limited,2025-05-09,2025-05-19,142.0,189.0,0.33098591549295775,listed_alive
Arunaya Organics Limited,2025-04-29,2025-05-07,58.0,31.6,-0.4551724137931034,listed_alive
Ather Energy Limited,2025-04-28,2025-05-06,321.0,302.3,-0.058255451713395606,listed_alive
Iware Supplychain Services Limited,2025-04-28,2025-05-06,95.0,80.9,-0.1484210526315789,listed_alive
Tankup Engineers Limited,2025-04-23,2025-04-30,140.0,183.75,0.3125,listed_alive
IIFL Finance Limited,2025-04-07,2026-03-13,,,,listed_alive
UGRO Capital Limited,2025-04-03,2025-04-28,1000.0,,,listed_alive
SMC Global Securities Limited,2025-04-02,,,,,listed_alive
ATC Energies System Limited,2025-03-25,2025-04-02,118.0,101.65,-0.13855932203389826,listed_alive
Shri Ahimsa Naturals Limited,2025-03-25,2025-04-02,119.0,147.0,0.23529411764705882,listed_alive
